subj,mask,voxels,FOV_depth0,FOV_depth2,FOV_depth4,FOV_depth6,FOV_depth8,FOV_depth10,MID_depth0,MID_depth2,MID_depth4,MID_depth6,MID_depth8,MID_depth10,PER_depth0,PER_depth2,PER_depth4,PER_depth6,PER_depth8,PER_depth10,ALL_depth0,ALL_depth2,ALL_depth4,ALL_depth6,ALL_depth8,ALL_depth10
pnr161_20190124,GMfunc_anySig_75pct_veins_lh.nii,2526,1.352,1.046,1.371,1.632,1.493,1.477,1.475,1.964,2.508,2.689,2.890,3.126,1.326,1.982,2.962,3.227,3.695,3.457,1.366,1.732,2.348,2.501,2.717,2.473
pnr161_20190404,GMfunc_anySig_75pct_veins_lh.nii,2491,0.850,0.673,1.100,1.295,1.345,1.657,1.369,1.627,2.177,2.513,2.993,3.510,1.216,1.840,2.664,3.340,3.732,3.899,1.105,1.457,2.028,2.432,2.766,2.923
pnr328_20190425,GMfunc_anySig_75pct_veins_lh.nii,2904,0.405,0.832,1.154,1.236,1.329,1.464,1.485,1.222,1.797,2.106,2.468,2.985,1.096,1.509,2.051,2.350,2.352,2.315,1.001,1.147,1.629,1.850,2.040,2.250
pnr328_20190808,GMfunc_anySig_75pct_veins_lh.nii,2012,0.791,1.033,1.389,1.460,1.423,1.237,1.227,1.107,1.910,2.173,2.184,2.071,1.139,1.191,2.021,2.275,2.370,2.438,1.109,1.104,1.779,1.999,2.005,1.941
pnr492_20190204,GMfunc_anySig_75pct_veins_lh.nii,2563,1.102,1.421,2.016,2.185,2.613,2.671,1.429,1.514,2.094,2.279,2.901,3.245,0.618,1.380,1.910,2.063,2.623,3.095,1.138,1.461,2.021,2.203,2.765,3.081
pnr492_20190429,GMfunc_anySig_75pct_veins_lh.nii,2464,0.917,0.898,1.181,1.278,1.558,1.646,1.315,1.421,1.780,1.960,2.124,2.214,1.106,1.522,1.935,2.052,2.227,2.194,1.142,1.278,1.623,1.760,1.999,2.056
pnr521_20190321,GMfunc_anySig_75pct_veins_rh.nii,2240,0.759,1.064,1.340,1.688,1.931,1.959,1.227,1.460,1.971,2.489,3.261,4.044,0.789,1.221,1.758,2.117,2.514,2.798,0.968,1.285,1.762,2.165,2.688,3.130
pnr521_20190808,GMfunc_anySig_75pct_veins_lh.nii,1915,1.314,1.698,2.188,1.920,2.129,2.513,1.865,2.002,2.480,2.649,3.082,3.430,1.592,1.764,2.111,2.056,2.498,2.955,1.598,1.836,2.254,2.271,2.630,3.055
pnr739_20190131,GMfunc_anySig_75pct_veins_lh.nii,1494,0.712,0.461,0.704,0.930,1.108,0.929,1.038,1.306,1.564,1.473,1.476,1.431,1.779,1.056,1.371,1.427,1.494,1.718,1.120,0.975,1.281,1.305,1.354,1.374
pnr739_20190415,GMfunc_anySig_75pct_veins_lh.nii,1375,0.444,0.405,0.493,0.488,0.864,0.607,0.719,0.892,1.056,1.056,1.118,1.045,0.670,0.639,1.118,1.198,1.073,1.319,0.598,0.666,0.895,0.921,0.944,0.930
