subj,mask,voxels,FOV_depth0,FOV_depth2,FOV_depth4,FOV_depth6,FOV_depth8,FOV_depth10,MID_depth0,MID_depth2,MID_depth4,MID_depth6,MID_depth8,MID_depth10,PER_depth0,PER_depth2,PER_depth4,PER_depth6,PER_depth8,PER_depth10,ALL_depth0,ALL_depth2,ALL_depth4,ALL_depth6,ALL_depth8,ALL_depth10
pnr161_20190124,GMfunc_anySig_75pct_veins_lh.nii,2526,1.728,1.477,2.396,2.606,2.437,2.316,1.533,2.273,2.983,3.420,3.416,3.598,1.236,1.466,2.376,2.826,3.275,3.405,1.496,1.724,2.519,2.857,2.912,2.899
pnr161_20190404,GMfunc_anySig_75pct_veins_lh.nii,2491,1.743,1.398,1.970,2.530,2.659,2.982,1.467,1.695,2.629,3.130,3.712,4.376,0.905,1.496,2.275,3.001,3.738,4.190,1.361,1.532,2.302,2.924,3.343,3.701
pnr328_20190425,GMfunc_anySig_75pct_veins_lh.nii,2904,0.567,1.133,1.643,2.134,2.591,2.951,1.932,1.085,1.911,2.389,3.169,3.795,0.934,1.277,1.942,2.694,2.951,3.033,1.172,1.158,1.830,2.374,2.916,3.293
pnr328_20190808,GMfunc_anySig_75pct_veins_lh.nii,2012,1.010,1.518,2.059,2.693,2.589,2.111,1.457,1.294,2.143,2.490,2.603,2.837,1.057,0.962,1.796,1.999,2.424,2.707,1.185,1.225,1.972,2.383,2.496,2.538
pnr492_20190204,GMfunc_anySig_75pct_veins_lh.nii,2563,1.222,1.521,2.163,2.332,2.886,2.958,1.418,1.515,2.169,2.339,3.052,3.454,0.514,1.282,1.846,1.963,2.557,3.148,1.147,1.468,2.079,2.250,2.890,3.273
pnr492_20190429,GMfunc_anySig_75pct_veins_lh.nii,2464,1.438,1.615,2.311,2.694,3.435,3.393,1.359,1.536,2.284,2.905,3.225,3.256,0.880,1.094,1.596,1.841,2.203,2.437,1.287,1.452,2.149,2.539,3.047,3.126
pnr521_20190321,GMfunc_anySig_75pct_veins_rh.nii,2240,1.057,1.368,2.028,2.430,3.166,3.511,1.031,1.452,2.045,2.789,3.713,4.408,0.643,1.147,1.660,2.144,2.771,3.224,0.911,1.333,1.935,2.502,3.270,3.838
pnr521_20190808,GMfunc_anySig_75pct_veins_lh.nii,1915,1.517,2.371,2.800,2.620,2.942,3.312,1.903,1.994,2.573,2.924,3.599,4.147,1.478,1.506,1.922,2.068,2.833,3.566,1.599,1.853,2.333,2.494,3.149,3.754
pnr739_20190131,GMfunc_anySig_75pct_veins_lh.nii,1494,1.463,1.191,1.788,1.853,2.470,2.600,1.631,2.015,2.579,2.720,2.845,2.944,1.584,1.387,2.063,2.313,2.535,2.960,1.540,1.609,2.254,2.403,2.774,2.954
pnr739_20190415,GMfunc_anySig_75pct_veins_lh.nii,1375,1.326,1.414,1.931,2.561,2.972,3.147,1.465,1.816,2.472,2.785,2.955,3.322,1.320,1.361,2.440,2.920,2.621,3.136,1.370,1.564,2.313,2.766,2.893,3.324
